,year,state,district,c1_x,c2_x,c1_party_x,c2_party_x,c1_votes,c2_votes,winner,winner_party,c1_y,c2_y,c1_party_y,c2_party_y,c1_pct,c2_pct
71,2018,MINNESOTA,8,PETE STAUBER,JOE RADINOVICH,REPUBLICAN,DEMOCRATIC-FARMER-LABOR,159364,141950.0,PETE STAUBER,REPUBLICAN,PETE STAUBER,PETE STAUBER,REP,REP,49.15,48.13
72,2018,MISSISSIPPI,1,TRENT KELLY,RANDY MACK WADKINS,REPUBLICAN,DEMOCRAT,158245,76601.0,TRENT KELLY,REPUBLICAN,TRENT KELLY,RANDY WADKINS,REP,DEM,57.19,28.18
73,2018,MISSISSIPPI,2,BENNIE G THOMPSON,TROY RAY,DEMOCRAT,INDEPENDENT,158921,48104.0,BENNIE G THOMPSON,DEMOCRAT,BENNIE G. THOMPSON,IRVING HARRIS,DEM,REF,50.66,22.13
74,2018,MISSISSIPPI,3,MICHAEL GUEST,MICHAEL TED EVANS,REPUBLICAN,DEMOCRAT,160284,94461.0,MICHAEL GUEST,REPUBLICAN,MICHAEL GUEST,MARY BRANNON,REP,DEM,56.11,26.87
75,2018,MISSISSIPPI,4,STEVEN PALAZZO,JERAMEY ANDERSON,REPUBLICAN,DEMOCRAT,152633,68787.0,STEVEN PALAZZO,REPUBLICAN,STEVEN PALAZZO,JERAMEY ANDERSON,REP,DEM,53.66,36.68
76,2018,MISSOURI,2,ANN WAGNER,CORT VANOSTRAN,REPUBLICAN,DEMOCRAT,192477,177611.0,ANN WAGNER,REPUBLICAN,ANN WAGNER,CORT VANOSTRAN,REP,DEM,51.0,43.0
77,2018,NEBRASKA,1,JEFF FORTENBERRY,JESSICA MCCLURE,REPUBLICAN,DEMOCRAT,141712,93069.0,JEFF FORTENBERRY,REPUBLICAN,JEFF FORTENBERRY,JESSICA MCCLURE,REP,DEM,55.0,39.0
78,2018,NEBRASKA,2,DON BACON,KARA EASTMAN,REPUBLICAN,DEMOCRAT,126715,121770.0,DON BACON,REPUBLICAN,DON BACON,DON BACON,REP,REP,52.0,50.85
79,2018,NEVADA,1,DINA TITUS,JOYCE BENTLEY,DEMOCRAT,REPUBLICAN,100707,46978.0,DINA TITUS,DEMOCRAT,DINA TITUS,DINA TITUS,DEM,DEM,58.3,50.2
80,2018,NEVADA,2,MARK E AMODEI,CLINT KOBLE,REPUBLICAN,DEMOCRAT,167435,120102.0,MARK E AMODEI,REPUBLICAN,MARK E. AMODEI,CLINT KOBLE,REP,DEM,57.5,36.9
81,2018,NEVADA,3,SUSIE LEE,DANNY TARKANIAN,DEMOCRAT,REPUBLICAN,148501,122566.0,SUSIE LEE,DEMOCRAT,SUSIE LEE,DANNY TARKANIAN,DEM,REP,50.6,41.4
82,2018,NEVADA,4,STEVEN A HORSFORD,CRESENT HARDY,DEMOCRAT,REPUBLICAN,121962,102748.0,STEVEN A HORSFORD,DEMOCRAT,STEVEN HORSFORD,STEVEN HORSFORD,DEM,DEM,49.0,48.0
83,2018,NEW HAMPSHIRE,1,CHRIS PAPPAS,EDDIE EDWARDS,DEMOCRAT,REPUBLICAN,155884,130996.0,CHRIS PAPPAS,DEMOCRAT,CHRIS PAPPAS,CHRIS PAPPAS,DEM,DEM,55.0,53.0
84,2018,NEW HAMPSHIRE,2,ANNE MCLANE KUSTER,STEVEN NEGRON,DEMOCRAT,REPUBLICAN,155358,117990.0,ANNE MCLANE KUSTER,DEMOCRAT,ANN MCLANE KUSTER,ANN MCLANE KUSTER,DEM,DEM,56.0,54.0
85,2018,NEW JERSEY,2,JEFF VAN DREW,SETH GROSSMAN,DEMOCRAT,REPUBLICAN,136685,116866.0,JEFF VAN DREW,DEMOCRAT,JEFF VAN DREW,JEFF VAN DREW,DEM,DEM,55.1,55.0
86,2018,NEW JERSEY,3,ANDY KIM,TOM MACARTHUR,DEMOCRAT,REPUBLICAN,153473,149500.0,ANDY KIM,DEMOCRAT,ANDY KIM,ANDY KIM,DEM,DEM,52.01,50.0
87,2018,NEW JERSEY,5,JOSH GOTTHEIMER,JOHN J MCCANN JR,DEMOCRAT,REPUBLICAN,169546,128255.0,JOSH GOTTHEIMER,DEMOCRAT,JOSH GOTTHEIMER,JOHN MCCANN,DEM,REP,47.0,39.0
88,2018,NEW JERSEY,7,TOM MALINOWSKI,LEONARD LANCE,DEMOCRAT,REPUBLICAN,166985,150785.0,TOM MALINOWSKI,DEMOCRAT,TOM MALINOWSKI,TOM MALINOWSKI,DEM,DEM,48.0,47.39
89,2018,NEW JERSEY,11,MIKIE SHERRILL,JAY WEBBER,DEMOCRAT,REPUBLICAN,183684,136322.0,MIKIE SHERRILL,DEMOCRAT,MIKIE SHERRILL,MIKIE SHERRILL,DEM,DEM,50.0,48.81
90,2018,NEW MEXICO,1,DEBRA A HAALAND,JANICE E ARNOLD-JONES,DEMOCRAT,REPUBLICAN,147336,90507.0,DEBRA A HAALAND,DEMOCRAT,DEBRA A. HAALAND,DEBRA A. HAALAND,DEM,DEM,51.4,51.3
91,2018,NEW MEXICO,2,XOCHITL TORRES SMALL,YVETTE HERRELL,DEMOCRAT,REPUBLICAN,101489,97767.0,XOCHITL TORRES SMALL,DEMOCRAT,YVETTE HERRELL,YVETTE HERRELL,REP,REP,49.0,48.5
92,2018,NEW MEXICO,3,BEN R LUJAN,JERALD STEVE MCFALL,DEMOCRAT,REPUBLICAN,155201,76427.0,BEN R LUJAN,DEMOCRAT,BEN RAY LUJÁN,BEN RAY LUJÁN,DEM,DEM,58.1,57.3
93,2018,NEW YORK,1,PERRY GERSHON,LEE M ZELDIN,DEMOCRAT,REPUBLICAN,124213,121562.0,PERRY GERSHON,DEMOCRAT,LEE M. ZELDIN,LEE M. ZELDIN,REP,REP,52.0,49.5
94,2018,NEW YORK,11,MAX N ROSE,DAN DONOVAN,DEMOCRAT,REPUBLICAN,96850,80440.0,MAX N ROSE,DEMOCRAT,DAN DONOVAN,DAN DONOVAN,REP,REP,47.0,43.8
95,2018,NEW YORK,19,ANTONIO DELGADO,JOHN J FASO,DEMOCRAT,REPUBLICAN,135582,112304.0,ANTONIO DELGADO,DEMOCRAT,ANTONIO DELGADO,ANTONIO DELGADO,DEM,DEM,51.0,49.0
96,2018,NEW YORK,22,ANTHONY J BRINDISI,CLAUDIA TENNEY,DEMOCRAT,REPUBLICAN,116001,110125.0,ANTHONY J BRINDISI,DEMOCRAT,ANTHONY J. BRINDISI,CLAUDIA TENNEY,DEM,REP,55.0,50.0
97,2018,NEW YORK,23,THOMAS W REED II,TRACY MITRANO,REPUBLICAN,DEMOCRAT,114722,100914.0,THOMAS W REED II,REPUBLICAN,THOMAS REED,TRACY MITRANO,REP,DEM,49.0,47.0
98,2018,NEW YORK,24,DANA BALTER,JOHN M KATKO,DEMOCRAT,REPUBLICAN,115902,113538.0,DANA BALTER,DEMOCRAT,JOHN KATKO,JOHN KATKO,REP,REP,54.0,53.0
99,2018,NEW YORK,25,JOSEPH D MORELLE,JIM MAXWELL,DEMOCRAT,REPUBLICAN,147979,91342.0,JOSEPH D MORELLE,DEMOCRAT,JOSEPH D. MORELLE,JOSEPH D. MORELLE,DEM,DEM,55.0,53.0
100,2018,NEW YORK,27,NATHAN D MCMURRAY,CHRIS COLLINS,DEMOCRAT,REPUBLICAN,128167,114506.0,NATHAN D MCMURRAY,DEMOCRAT,PATRICK M. GALLIVAN,STEFAN MYCHAJLIW,REP,REP,53.3,48.7
101,2018,NORTH CAROLINA,2,GEORGE HOLDING,LINDA COLEMAN,REPUBLICAN,DEMOCRAT,170072,151977.0,GEORGE HOLDING,REPUBLICAN,GEORGE HOLDING,LINDA COLEMAN,REP,DEM,49.0,45.0
102,2018,NORTH CAROLINA,7,DAVID ROUZER,KYLE HORTON,REPUBLICAN,DEMOCRAT,156809,120838.0,DAVID ROUZER,REPUBLICAN,KYLE HORTON,DAVID ROUZER,DEM,REP,44.0,40.0
103,2018,NORTH CAROLINA,9,MARK HARRIS,DAN MCCREADY,REPUBLICAN,DEMOCRAT,139246,138341.0,MARK HARRIS,REPUBLICAN,MARK HARRIS,MARK HARRIS,REP,REP,46.82,45.37
104,2018,NORTH CAROLINA,13,TED BUDD,KATHY MANNING,REPUBLICAN,DEMOCRAT,147570,130402.0,TED BUDD,REPUBLICAN,TED BUDD,KATHY MANNING,REP,DEM,46.88,46.0
105,2018,OHIO,1,STEVE CHABOT,AFTAB PUREVAL,REPUBLICAN,DEMOCRAT,154409,141118.0,STEVE CHABOT,REPUBLICAN,STEVE CHABOT,STEVE CHABOT,REP,REP,51.0,50.13
106,2018,OHIO,2,BRAD WENSTRUP,JILL SCHILLER,REPUBLICAN,DEMOCRAT,166714,119333.0,BRAD WENSTRUP,REPUBLICAN,BRAD WENSTRUP,JILL SCHILLER,REP,DEM,52.0,39.0
107,2018,OHIO,4,JIM JORDAN,JANET GARRETT,REPUBLICAN,DEMOCRAT,167993,89412.0,JIM JORDAN,REPUBLICAN,JIM JORDAN,JANET GARRETT,REP,DEM,60.0,36.0
108,2018,OHIO,7,BOB GIBBS,KEN HARBAUGH,REPUBLICAN,DEMOCRAT,153117,107536.0,BOB GIBBS,REPUBLICAN,BOB GIBBS,BOB GIBBS,REP,REP,54.59,49.0
109,2018,OHIO,12,TROY BALDERSON,DANNY O'CONNOR,REPUBLICAN,DEMOCRAT,175677,161251.0,TROY BALDERSON,REPUBLICAN,TROY BALDERSON,TROY BALDERSON,REP,REP,50.0,49.0
110,2018,OKLAHOMA,1,KEVIN HERN,TIM GILPIN,REPUBLICAN,DEMOCRAT,150129,103042.0,KEVIN HERN,REPUBLICAN,KEVIN HERN,TIM GILPIN,REP,DEM,54.0,31.9
111,2018,OKLAHOMA,2,MARKWAYNE MULLIN,JASON NICHOLS,REPUBLICAN,DEMOCRAT,140451,65021.0,MARKWAYNE MULLIN,REPUBLICAN,MARKWAYNE MULLIN,JASON NICHOLS,REP,DEM,46.0,32.2
112,2018,OKLAHOMA,3,FRANK D LUCAS,FRANKIE ROBBINS,REPUBLICAN,DEMOCRAT,172913,61152.0,FRANK D LUCAS,REPUBLICAN,FRANK D. LUCAS,FRANKIE ROBBINS,REP,DEM,54.0,24.1
113,2018,OKLAHOMA,4,TOM COLE,MARY BRANNON,REPUBLICAN,DEMOCRAT,149227,78088.0,TOM COLE,REPUBLICAN,TOM COLE,MARY BRANNON,REP,DEM,58.0,24.7
114,2018,OKLAHOMA,5,KENDRA HORN,STEVE RUSSELL,DEMOCRAT,REPUBLICAN,121149,117811.0,KENDRA HORN,DEMOCRAT,STEVE RUSSELL,STEVE RUSSELL,REP,REP,51.0,50.0
